Latitude,Longitude,Birth Date
41.434746,-92.30625,1534595706
37.65717,-112.62609,1552662712
44.908524,-94.905075,1555513082
34.75617,-116.64277,1537529395
36.713623,-87.668,1535976084
32.46298,-82.63969,1520225614
45.81104,-76.960045,1554018784
30.966087,-98.598595,1553515297
48.50223,-84.84459,1529247995
43.43486,-84.70009,1527169466
49.784634,-86.59858,1555238761
36.47265,-79.24622,1522066402
52.105434,-120.52811,1529021905
36.36277,-83.95635,1531752532
31.952106,-79.18443,1526902414
50.21049,-111.60216,1545239381
35.88159,-92.87513,1535280724
32.4678,-117.41508,1547703755
48.92355,-110.33467,1529670311
50.13077,-100.935585,1527705917
46.708946,-110.437485,1517305870
34.808216,-80.88574,1555442353
46.465084,-102.9385,1532350316
40.74696,-76.56287,1548085444
52.36548,-117.152985,1546665449
32.582817,-92.30632,1525247844
46.514797,-85.881805,1519641594
52.334373,-78.16399,1531532431
35.701004,-79.17177,1517986046
51.39667,-91.611115,1527675640
40.18165,-96.96645,1530327030
45.74462,-76.62745,1551475035
40.642193,-117.766846,1539531593
52.790253,-101.3948,1529140065
34.200253,-80.35515,1553232807
38.33382,-88.14069,1538677397
39.25229,-77.975395,1539216410
49.92891,-83.41507,1519147677
50.972977,-115.41743,1520330147
44.282547,-114.20918,1551789400
43.16725,-99.70075,1532903658
41.68518,-113.437355,1547328606
38.33275,-90.439514,1523750888
28.902414,-92.742355,1518681057
46.680283,-113.679535,1549116712
35.410267,-80.67673,1527748118
40.421402,-86.37749,1548042500
35.266266,-105.23524,1553830670
39.352825,-77.51599,1519699182
32.40406,-114.58173,1516619228
33.470528,-104.56319,1545828372
50.743553,-93.95215,1546193748
52.435486,-116.321846,1529443861
49.471947,-104.7562,1554335195
31.651346,-80.35345,1524445573
50.4347,-114.2704,1532276702
39.603603,-81.90518,1555188481
47.91604,-83.78439,1547721947
50.277195,-120.35342,1553576794
44.54123,-84.56004,1556411618
29.828156,-106.68792,1554951130
41.272865,-81.1726,1532270600
34.986866,-122.95867,1550808874
28.43996,-116.26189,1542403837
51.121456,-113.36912,1539330265
41.489437,-86.13105,1554811487
35.48619,-76.366585,1518620709
51.866776,-82.99305,1543886608
36.5389,-105.61694,1526539290
31.930458,-95.63296,1536976376
43.25179,-91.79726,1539255379
48.2395,-122.73837,1523813651
