Latitude,Longitude,Birth Date
51.315403,-99.9903,1549727181
30.234148,-115.73847,1548205841
41.614094,-98.80942,1521368378
48.66402,-89.86345,1555763828
29.486027,-95.87927,1544592359
40.14807,-121.43123,1544535840
30.278193,-81.81001,1521490021
32.620464,-107.45879,1555519971
42.81126,-80.628624,1549529533
45.886494,-79.63934,1518941812
33.47805,-100.62826,1519258717
31.478262,-85.2162,1533859048
51.656612,-89.1469,1544391334
49.803738,-116.2829,1526803670
44.593513,-82.83369,1528049555
38.510273,-97.84993,1545353113
38.54397,-113.48344,1532978765
46.80662,-101.62699,1518610243
41.501053,-108.3779,1524436033
38.93903,-120.6471,1515327799
30.899883,-120.898796,1545344615
28.611572,-118.65071,1552887901
51.53166,-98.56481,1532499349
42.53572,-103.765465,1550774315
51.26611,-115.40056,1525405805
45.55961,-92.14533,1520204674
33.75122,-89.904274,1549570140
38.441544,-83.87339,1528160464
37.60645,-102.62098,1523180442
34.185257,-103.74689,1527434647
32.931744,-99.74983,1529678378
47.11332,-94.94274,1550603054
39.10085,-85.88007,1530655839
32.27469,-118.66303,1550776767
42.5872,-95.808624,1532115655
47.39616,-117.5881,1517579456
37.933735,-110.38409,1522279139
33.30315,-100.65879,1531247885
39.18839,-89.12948,1548971604
51.142788,-86.24476,1544649651
32.38476,-117.9662,1531246647
50.321342,-111.52029,1532986260
42.865223,-117.18531,1536037691
29.929031,-110.79777,1531427979
38.82365,-109.86372,1529577046
39.613705,-113.33504,1530522776
50.550156,-106.75644,1535684021
32.181114,-106.49566,1536925220
45.707928,-107.60196,1553841050
32.494972,-105.68914,1523083458
36.440662,-102.338486,1541206678
41.863575,-110.331566,1521729969
51.650364,-83.497826,1553563386
29.133793,-114.20714,1525395445
42.352444,-80.825806,1540609876
50.108894,-119.82033,1540232164
38.753315,-121.76851,1515374112
38.55368,-79.49115,1528656727
40.93218,-99.50417,1547397461
34.42417,-109.28856,1544721099
45.499596,-81.753296,1528847080
46.860867,-117.79828,1550191054
51.818707,-95.304756,1535782647
52.85823,-113.1983,1518710258
31.859777,-94.38223,1535838292
30.218628,-112.30829,1543696201
31.124496,-115.962105,1541866169
38.53547,-96.78415,1520963851
51.389687,-89.88223,1531051882
36.54066,-99.37658,1548566263
47.349277,-120.90918,1539149831
50.241684,-121.29491,1533845446
39.75779,-82.119835,1540272656
41.91866,-112.47312,1531689752
47.89849,-103.930565,1554120196
36.901443,-100.165306,1541182526
41.412434,-87.20312,1530472639
38.27865,-114.553665,1526694670
44.305393,-115.42249,1526208081
47.278866,-95.61305,1522538067
35.333683,-113.776215,1522595171
52.153522,-120.622574,1545076656
32.980007,-82.99825,1524562651
52.12042,-77.27765,1530020077
35.667492,-76.93689,1556591507
47.917194,-95.23461,1539937114
37.40021,-82.27219,1532640801
28.434013,-85.84103,1525471203
46.59523,-107.717,1553882956
33.5247,-88.6676,1534529380
46.12225,-107.92449,1538948195
37.972137,-95.416405,1551262903
41.214615,-84.9881,1529655945
29.506615,-89.89539,1525135341
45.485493,-94.2295,1556489639
46.709694,-118.18368,1527686749
39.29777,-79.373764,1530048926
28.93498,-95.73388,1520098803
29.547443,-77.79246,1552784261
52.209946,-78.178795,1520380536
49.40446,-101.12293,1520659763
45.41707,-107.20719,1519996770
39.61589,-96.39512,1522874836
39.190384,-109.62818,1520137569
40.933704,-94.19043,1538973020
40.49281,-77.757,1541243462
30.843645,-111.19782,1524145388
30.106262,-95.25826,1515665158
28.84838,-82.296074,1516606549
30.476309,-99.940865,1538104030
50.140736,-89.75213,1538626075
45.31043,-121.67065,1524168906
37.406513,-76.37868,1536455548
31.135006,-80.42276,1519219983
49.35162,-85.16223,1515151268
33.800083,-114.6276,1518978030
47.164246,-119.4888,1527180487
46.132084,-89.34356,1515636658
28.538992,-121.17304,1556071025
32.196938,-105.801704,1537231147
35.783367,-98.82954,1549006149
43.82383,-99.23728,1536347659
29.697412,-108.10099,1515411674
39.496845,-115.52831,1540274682
46.87988,-117.36871,1552801906
45.292717,-93.63692,1542785847
30.800379,-116.91275,1531511983
52.40511,-101.35023,1532761746
37.74655,-105.95526,1532411123
36.53851,-87.264435,1537243424
51.7244,-106.86787,1544337184
49.207947,-89.14985,1518151213
45.323124,-101.1998,1541044816
41.6938,-85.71963,1542222256
28.53776,-103.33969,1544118317
42.526985,-87.2286,1525890088
46.158073,-78.44168,1538754031
50.268803,-77.737366,1518296864
39.3447,-119.72636,1515462504
44.32646,-111.37232,1544306373
51.227886,-94.862114,1543399917
43.93326,-99.7621,1539801259
28.848307,-79.58382,1527706822
44.793537,-113.216644,1546989518
45.764946,-109.9067,1556253337
29.386099,-79.192116,1536638500
42.990974,-102.72554,1549873445
34.256714,-111.6991,1548673656
28.33722,-97.637505,1516635242
47.712193,-89.24577,1549567328
38.379917,-99.7088,1518582680
44.94551,-82.83824,1555941409
39.314575,-82.74373,1546026208
30.959038,-120.331535,1518156401
51.974316,-107.68046,1516978063
45.117416,-101.973076,1524191799
29.592533,-110.99847,1535632918
49.633053,-111.86952,1546183152
37.96488,-103.78375,1540476547
28.23252,-89.39634,1522573462
36.243156,-92.14674,1530364613
52.299152,-120.35788,1533736662
41.462704,-110.67751,1550273022
34.445457,-119.14058,1552906350
40.914665,-89.423676,1520231477
46.219234,-90.89092,1552398407
51.881577,-102.7348,1535477255
40.215633,-118.23045,1541982302
